,Bangande,Fulani,Dogon_Tomo_Kan,Dogon_Penange,Songhai_Hombori,Dogon_Jamsay,Songhai_Kikara,Dogon_Donno_So,Dogon_Mombo,Bozo,Totals
Bangande,,4,8,18,2,20,1,9,17,13,92
Fulani,4,,1,11,3,8,1,5,12,3,48
Dogon_Tomo_Kan,8,1,,10,8,15,0,6,11,3,62
Dogon_Penange,18,11,10,,6,17,1,7,41,10,121
Songhai_Hombori,2,3,8,6,,11,8,2,3,2,45
Dogon_Jamsay,20,8,15,17,11,,0,16,19,7,113
Songhai_Kikara,1,1,1,1,8,1,,1,1,1,16
Dogon_Donno_So,9,5,6,7,2,16,0,,13,2,60
Dogon_Mombo,17,12,11,41,3,19,1,13,,9,126
Bozo,13,3,3,10,2,7,1,2,9,,50
